
2023/07/25 (19:43:53) | ===> btop++ v.1.2.13
2023/07/25 (19:43:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/25 (19:55:56) | ===> btop++ v.1.2.13
2023/07/25 (19:55:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/03 (18:56:51) | ===> btop++ v.1.2.13
2023/08/03 (18:56:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/09 (21:48:40) | ===> btop++ v.1.2.13
2023/08/09 (21:48:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/21 (17:11:58) | ===> btop++ v.1.2.13
2023/08/21 (17:11:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/22 (22:14:56) | ===> btop++ v.1.2.13
2023/08/22 (22:14:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/02 (00:10:42) | ===> btop++ v.1.2.13
2023/09/02 (00:10:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/05 (00:56:25) | ===> btop++ v.1.2.13
2023/09/05 (00:56:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/07 (21:54:05) | ===> btop++ v.1.2.13
2023/09/07 (21:54:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/11 (00:42:20) | ===> btop++ v.1.2.13
2023/09/11 (00:42:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/11 (00:43:20) | ===> btop++ v.1.2.13
2023/09/11 (00:43:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/13 (00:00:46) | ===> btop++ v.1.2.13
2023/09/13 (00:00:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/15 (11:51:15) | ===> btop++ v.1.2.13
2023/09/15 (11:51:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/21 (12:04:51) | ===> btop++ v.1.2.13
2023/09/21 (12:04:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/27 (14:35:35) | ===> btop++ v.1.2.13
2023/09/27 (14:35:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/18 (01:54:26) | ===> btop++ v.1.2.13
2023/10/18 (01:54:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/21 (15:00:20) | ===> btop++ v.1.2.13
2023/10/21 (15:00:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/21 (15:02:03) | ===> btop++ v.1.2.13
2023/10/21 (15:02:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (01:09:41) | ===> btop++ v.1.2.13
2023/10/23 (01:09:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/25 (14:54:06) | ===> btop++ v.1.2.13
2023/10/25 (14:54:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/28 (12:05:04) | ===> btop++ v.1.2.13
2023/10/28 (12:05:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
